id,name,lat,lng,elevation,t_rh,sm,tsoil,rf
115,Piiholo,20.8415,-156.2948,637,2.00;2.00,-0.08;-0.31;-0.61,-0.08;-0.08;-0.16;-0.46,0.8
116,Keokea,20.7067,-156.3554,871,2.00;2.00,-0.08;-0.31;-0.61,-0.08;-0.08;-0.16;-0.46,0.9
118,Pulehu,20.79532,-156.35991,427,2.00;2.00,-0.08;-0.31;-0.61,-0.08;-0.08;-0.16;-0.46,1
119,Kula Ag,20.757889,-156.320028,964,1.4;1.4,-0.15;-0.45,-0.04,1
121,Lipoa,20.7458333,-156.4305556,88,2.00;2.00,-0.08;-0.31;-0.61,-0.08;-0.08;-0.16;-0.46,1.1
131,Lahaina WTP,20.89072,-156.65493,244,2.00;2.00,-0.08;-0.31;-0.61,-0.08;-0.08;-0.16;-0.46,1.22
132,Olowalu,20.82078,-156.6152,54,2.00;2.00,-0.08;-0.31;-0.61,-0.08;-0.08;-0.16;-0.46,1.22
133,Honolua,21.0012,-156.62267,170,2.00;2.00,-0.08;-0.31;-0.61,-0.08;-0.08;-0.16;-0.46,1.4
134,Hanaula,20.841,-156.5545,1215,2.00;2.00,-0.08;-0.31;-0.61,-0.08;-0.08;-0.16;-0.46,1.3
141,Auwahi,20.644222,-156.342056,1177,2.90;2.92,-0.04;-0.15,-0.04,3.1
143,Nakula,20.674726,-156.233409,1632,2.22;2.28,-0.15,-0.04,2.22
144,Kahikinui,20.633945,-156.273889,713,2.00;2.00,-0.08;-0.31;-0.61,-0.08;-0.08;-0.16;-0.46,0.83
145,Upper Kahikinui,20.644215,-156.284703,1034,1.63,-0.08,-0.08,1.92
151,Park HQ,20.759806,-156.248167,2114,1.70;1.70,-0.15;-0.35,-0.04,0.6
152,Nene Nest,20.738194,-156.245833,2593,1.73;1.75,-0.15;-0.45,-0.04,0.61
153,Summit,20.710361,-156.25675,2984,1.70;1.70,-0.15;-0.45,-0.04,0.5
154,Waikamoi,20.773636,-156.222311,1935,2.00;2.00,-0.08;-0.31;-0.51,-0.08;-0.08;-0.16;-0.40,0.9
155,EMI Base Yard,20.890997,-156.212316,210,2.00;2.00,-0.08;-0.31;-0.61,-0.08;-0.08;-0.16;-0.46,1.22
161,Pohaku Palaha,20.730574,-156.141316,2460,2.00;2.00,-0.08;-0.31;-0.61,-0.08;-0.08;-0.16;-0.46,1.17
162,Treeline,20.734315,-156.123354,2235,nan,nan,nan,nan
164,Big Bog,20.726514,-156.092308,1652,nan,nan,nan,nan
165,Hamoa,20.719497,-156.002356,106,2.00;2.00,-0.08;-0.31;-0.61,-0.08;-0.08;-0.16;-0.46,1.14
166,Kipahulu VC,20.661092,-156.044767,29,2.00;2.00,-0.08;-0.31;-0.61,-0.08;-0.08;-0.16;-0.46,1.08
201,Nahuku,19.415215,-155.238394,1202,23;23,-0.08;-0.24;-0.42,-0.08;-0.08;-0.16;-0.31,20.60;20.60
202,Keaau,19.6061748,-155.0515231,182,2.00;2.00,-0.08;-0.31;-0.61,-0.08;-0.08;-0.16;-0.46,1.17
203,Olaa,19.478399,-155.214969,1043,nan,nan,nan,nan
204,Pahoa,19.501169,-154.943731,175,2.00;2.00,-0.08;-0.31;-0.61,-0.08;-0.08;-0.16;-0.46,1.24
211,Kanakaleonui,19.845036,-155.362586,2352,2.00;2.00,-0.08;-0.31;-0.61,-0.08;-0.08;-0.16;-0.46,1.4
212,Kulaimano,19.834341,-155.122435,260,2.00;2.00,-0.08;-0.31;-0.61,-0.08;-0.08;-0.16;-0.46,1.18
213,Piihonua,19.7064059,-155.1873737,606,4.95;4.95,-0.08;-0.16;nan,-0.08;-0.08;-0.16;nan,4.39
214,Waipunalei,19.9090639,-155.332875,1654,2.00;2.00,-0.08;-0.31;-0.61,-0.08;-0.08;-0.16;-0.46,1.3
221,Kaluamakani,19.9153271,-155.5002897,1880,2.00;2.00,-0.08;-0.31;-0.61,-0.08;-0.08;-0.16;-0.46,1.14
222,Aipalaoa,19.8541197,-155.5915919,2039,2.00;2.00,-0.08;-0.31;-0.61,-0.08;-0.08;-0.16;-0.46,1.12
231,Kaiholena,19.16877,-155.57035,631,2.00;2.00,-0.08;-0.31;-0.61,-0.08;-0.08;-0.16;-0.46,1.28
241,Keahuolu,19.668669,-155.957474,537,2.00;2.00,-0.08;-0.31;-0.61,-0.08;-0.08;-0.16;-0.46,1.4
242,Kaiaulu Puuwaawaa,19.77241,-155.83118,1161,2.00;2.00,-0.08;-0.31;-0.61,-0.08;-0.08;-0.16;-0.46,1.11
243,Kona Hema,19.2068247,-155.8109802,1283,2.00;2.00,nan,nan,1.16
244,Kealakekua,19.505859,-155.762429,1840,2.00;2.00,-0.08;-0.16;-0.16,-0.08;-0.08;-0.16;-0.16,1.13
245,Kipuka Nui,19.5087559,-155.8445347,1176,2.00;2.00,-0.08;-0.16;-0.27,-0.08;-0.08;-0.16;-0.16,1.3
251,Kehena,20.122834,-155.749329,1158,2.00;2.00,-0.08;-0.31;-0.61,-0.08;-0.08;-0.16;-0.46,1.3
252,Lalamilo,20.019528,-155.677085,802,2.00;2.00,-0.08;-0.31;-0.61,-0.08;-0.08;-0.16;-0.46,1.65
253,Puuloa,20.0621502,-155.7511354,1026,2.00;2.00,-0.08;-0.31;-0.61,-0.08;-0.08;-0.16;-0.46,1.24
254,Kawaihae,20.0240444,-155.807983,113,2.00;2.00,-0.08;-0.31;-0.61,-0.08;-0.08;-0.16;-0.46,1.19
255,Waipoo,20.099334,-155.696415,1381,2.00;2.00,-0.08;-0.31;nan,-0.08;-0.08;-0.16;nan,1.44
281,IPIF,19.69748,-155.0954,112,2,-0.15,nan,3
282,Spencer,19.96358,-155.25014,469,2,-0.15;-0.45;-0.75,-0.04,2
283,Laupahoehoe,19.93217,-155.29129,1152,30,-0.08;-0.31;-0.61,-0.08,30
286,Palamanui,19.73756,-155.99582,264,2,-0.15,nan,1
287,Mamalahoa,19.80258,-155.850629,603,2,-0.15;-0.45,nan,1.5
288,Puuwaawaa,19.725393,-155.873917,1654,nan,-0.15;-0.45;-0.75,-0.04;-0.04,nan
411,Keopukaloa,21.145283,-156.729459,187,2.00;2.00,-0.08;-0.31;-0.61,-0.08;-0.08;-0.16;-0.46,1.07
412,Honoulimaloo,21.131411,-156.758626,402,2.00;2.00,-0.08;-0.31;-0.61,-0.08;-0.08;-0.16;-0.46,1.1
431,Anapuka,21.215984,-157.241786,68,2.00;2.00,-0.08;-0.16;-0.31,-0.08;-0.08;-0.16;-0.16,1.16
501,Lyon,21.333,-157.8025,151,2.26;2.34,-0.04;-0.15;-0.45,-0.04,3.38
502,Nuuanu Res 1,21.339124,-157.836859,117,3.35;3.35,-0.08;-0.31;-0.61,-0.08;-0.08;-0.16;-0.46,0.84
503,Upper Waolani,21.34666,-157.83641,202,nan,-0.08,-0.08,1.5
504,Waolani,21.33756,-157.84092,98,nan,-0.08,-0.08,1.28
505,Napuumaia,21.35489,-157.83063,508,nan,-0.08,-0.08,1.32
506,Kalawahine,21.34522,-157.80556,506,6.42; 3.52,-0.08;-0.31;-0.61,-0.08,5
520,Kaala Repeater,21.508229,-158.144075,1211,nan,nan,nan,nan
521,Kaala,21.50675,-158.144861,1205,3.78;3.78,-0.08,-0.08,3.97
531,Kaluanui Ridge,21.30491,-157.70302,239,2.00;2.00,-0.08;-0.31;-0.57,-0.08;-0.08;-0.16;-0.42,0.92
541,Kaaawa Makai,21.540352,-157.845041,3,2.00;2.00,-0.08;-0.31;-0.61,-0.08;-0.08;-0.16;-0.46,1.05
551,Kalahee Ridge,21.63252,-158.04065,197,2.00;2.00,-0.08;-0.31;-0.61,-0.08;-0.08;-0.16;-0.46,0.98
601,Waipa,22.202647,-159.518833,5,2.00;2.00,-0.08;-0.31;-0.61,-0.08;-0.08;-0.16;-0.46,0.97
602,Common Ground,22.197439,-159.42123,112,2.00;2.00,-0.08;-0.31;-0.61,-0.08;-0.08;-0.16;-0.46,0.9
603,Lower Limahuli,22.219805,-159.575195,31,2.00;2.00,-0.08;-0.31;-0.61,-0.08;-0.08;-0.16;-0.46,1.06
604,Upper Limahuli,22.18454,-159.582659,994,nan,nan,nan,nan
605,Powerline,22.113562,-159.438786,651,nan,nan,nan,nan
621,Lawai NTBG,21.905295,-159.510395,106,2.00;2.00,-0.08;-0.31;-0.61,-0.08;-0.08;-0.16;-0.46,1.14
641,Hanamaulu,22.018201,-159.437989,225,2.00;2.00,-0.08;-0.31;-0.61,-0.08;-0.08;-0.16;-0.46,1.24
1312,Aasu,-14.3098,-170.7715,358,2,-0.08,nan,3
1313,Vaipito,-14.2829,-170.7105,92,2,-0.08,nan,3
1316,Afono,-14.26738,-170.65058,84,2,-0.08,nan,3
1319,Aunuu,-14.2852,-170.5535,34,2,-0.08,nan,3
1410,Fagalii,-14.308687,-170.821643,68,nan,nan,nan,nan
1411,Nuuuli,-14.306,-170.7105,19,nan,nan,nan,nan
1417,Afono,-14.26264,-170.6517,14,nan,nan,nan,nan
1419,Tula,-14.253399,-170.570965,34,nan,nan,nan,nan
